Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
Sha Sha,,샤샤,2/27/18,Major Ent,6,6,,No
SISTAR,,씨스타,9/11/08,Starship,4,4,STAR1,No
Sonamoo,,소나무,12/29/14,TS,5,7,Solbangul,Yes
SPICA,,스피카,7/12/02,CJ E&M,5,5,Mercury,No
Stellar,,스텔라,8/28/11,Pascal,4,4,Twinkle,No
Sunny Hill,,써니힐,9/20/07,Nega,4,5,,No
T-ara,,티아라,7/29/09,MBK,4,6,QUEEN'S,Hiatus
Tahiti,,타히티,6/23/12,J-line,5,6,,No
The Grace,CSJH,천상지희,4/29/05,SM,3,4,,No
Tiny-G,,타이니지,8/23/12,GNG,3,4,,No
TWICE,,트와이스,10/20/15,JYP,9,9,Once,Yes
Two X,,투엑스,8/20/12,J. Tune,4,5,,No
Uni.T,,유니티,5/18/18,Unit Culture,8,9,,No
Unicorn,,유니콘,3/15/09,Cartoon Blue,4,5,,No
Wable,,와블,2/17/16,Kiwi,2,2,,Yes
Wanna.B,,워너비,11/17/14,Zenith,5,4,Ru.B,Yes
Wassup,,와썹,7/13/08,Mafia,7,7,,No
We Girls,,위걸스,8/31/18,Afternoon,8,8,,Yes
Weki Meki,WeMe,위키미키,8/17/08,Fantagio,8,8,,Yes
WJSN,Cosmic Girls,우주소녀,2/25/16,Starship,13,12,Ujung,Yes
Wonder Girls,WG,원더걸스,2/13/07,JYP,4,5,Wonderful,No
Yellow Bee,,옐로비,11/23/17,Addiction,5,5,,Yes
